united_code,lake,date,year,month,jd,time,depth,light_percent,light_situ,log_e_light,flag
114_1987-06-01,114,1987-06-01,1987,6,152,10:35:00,1,33.7,91,4.510859507,no
114_1987-06-01,114,1987-06-01,1987,6,152,10:35:00,2,18.14,49,3.891820298,no
114_1987-06-01,114,1987-06-01,1987,6,152,10:35:00,3,11.48,31,3.433987204,no
114_1987-06-01,114,1987-06-01,1987,6,152,10:35:00,4,6.85,18.5,2.917770732,no
114_1987-06-15,114,1987-06-15,1987,6,166,9:00:00,0,100,68.5,4.226833745,yes
114_1987-06-15,114,1987-06-15,1987,6,166,9:00:00,0.5,49.63,34,3.526360525,no
114_1987-06-15,114,1987-06-15,1987,6,166,9:00:00,1,25.98,17.8,2.879198457,no
114_1987-06-15,114,1987-06-15,1987,6,166,9:00:00,2,15.47,10.6,2.360854001,no
114_1987-06-15,114,1987-06-15,1987,6,166,9:00:00,3,9.64,6.6,1.887069649,no
114_1987-06-15,114,1987-06-15,1987,6,166,9:00:00,4,4.82,3.3,1.193922468,no
114_1987-06-29,114,1987-06-29,1987,6,180,10:55:00,0,100,84,4.430816799,yes
114_1987-06-29,114,1987-06-29,1987,6,180,10:55:00,0.5,45.23,38,3.63758616,no
114_1987-06-29,114,1987-06-29,1987,6,180,10:55:00,1,36.9,31,3.433987204,no
114_1987-06-29,114,1987-06-29,1987,6,180,10:55:00,2,19.4,16.3,2.791165108,no
114_1987-06-29,114,1987-06-29,1987,6,180,10:55:00,3,11.78,9.9,2.292534757,no
114_1987-06-29,114,1987-06-29,1987,6,180,10:55:00,4,7.14,6,1.791759469,no
114_1987-07-13,114,1987-07-13,1987,7,194,10:15:00,0,100,90,4.49980967,yes
114_1987-07-13,114,1987-07-13,1987,7,194,10:15:00,0.5,54.44,49,3.891820298,no
114_1987-07-13,114,1987-07-13,1987,7,194,10:15:00,1,32.22,29,3.36729583,no
114_1987-07-13,114,1987-07-13,1987,7,194,10:15:00,2,21.77,19.6,2.975529566,no
114_1987-07-13,114,1987-07-13,1987,7,194,10:15:00,3,11.11,10,2.302585093,no
114_1987-07-13,114,1987-07-13,1987,7,194,10:15:00,4,6.33,5.7,1.740466175,no
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,0,100,77,4.343805422,yes
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,0.5,60.38,46.5,3.839452313,yes
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,1,36.36,28,3.33220451,no
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,1.5,26.49,20.4,3.015534901,no
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,2,19.09,14.7,2.687847494,no
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,2.5,13.76,10.6,2.360854001,no
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,3,10.77,8.3,2.116255515,no
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,3.5,8.31,6.4,1.85629799,no
114_1987-07-27,114,1987-07-27,1987,7,208,10:25:00,4,6.1,4.7,1.547562509,no
114_1987-08-10,114,1987-08-10,1987,8,222,9:38:00,0,100,62.1,4.128745989,yes
114_1987-08-10,114,1987-08-10,1987,8,222,9:38:00,0.5,51.2,31.8,3.45946629,no
114_1987-08-10,114,1987-08-10,1987,8,222,9:38:00,1,34.94,21.7,3.077312261,no
114_1987-08-10,114,1987-08-10,1987,8,222,9:38:00,2,20.28,12.6,2.533696814,no
114_1987-08-10,114,1987-08-10,1987,8,222,9:38:00,3,13.68,8.5,2.140066163,no
114_1987-08-10,114,1987-08-10,1987,8,222,9:38:00,4,9.34,5.8,1.757857918,no
114_1987-08-24,114,1987-08-24,1987,8,236,9:20:00,0,100,64,4.158883083,yes
114_1987-08-24,114,1987-08-24,1987,8,236,9:20:00,0.5,55.31,35.4,3.56671182,no
114_1987-08-24,114,1987-08-24,1987,8,236,9:20:00,1,35.62,22.8,3.126760536,no
114_1987-08-24,114,1987-08-24,1987,8,236,9:20:00,2,23.43,15,2.708050201,no
114_1987-08-24,114,1987-08-24,1987,8,236,9:20:00,3,14.53,9.3,2.2300144,no
114_1987-08-24,114,1987-08-24,1987,8,236,9:20:00,4,8.28,5.3,1.667706821,no
114_1987-09-30,114,1987-09-30,1987,9,273,9:00:00,0,100,36,3.583518938,yes
114_1987-09-30,114,1987-09-30,1987,9,273,9:00:00,0.5,57.22,20.6,3.025291076,no
114_1987-09-30,114,1987-09-30,1987,9,273,9:00:00,1,39.16,14.1,2.646174797,no
114_1987-09-30,114,1987-09-30,1987,9,273,9:00:00,2,27.22,9.8,2.282382386,no
114_1987-09-30,114,1987-09-30,1987,9,273,9:00:00,3,19.72,7.1,1.960094784,no
114_1987-09-30,114,1987-09-30,1987,9,273,9:00:00,4,13.61,4.9,1.589235205,no
114_1987-10-20,114,1987-10-20,1987,10,293,8:44:00,0,100,40.87,3.710396298,yes
114_1987-10-20,114,1987-10-20,1987,10,293,8:44:00,0.5,68.02,27.8,3.325036021,yes
114_1987-10-20,114,1987-10-20,1987,10,293,8:44:00,1,43.3,17.7,2.87356464,no
114_1987-10-20,114,1987-10-20,1987,10,293,8:44:00,1.5,39.14,16,2.772588722,no
114_1987-10-20,114,1987-10-20,1987,10,293,8:44:00,2,31.56,12.9,2.557227311,no
114_1987-10-20,114,1987-10-20,1987,10,293,8:44:00,3,24.22,9.9,2.292534757,no
114_1987-10-20,114,1987-10-20,1987,10,293,8:44:00,4,19.08,7.8,2.054123734,no
114_1988-05-18,114,1988-05-18,1988,5,139,9:02:00,0,100,833,6.725033642,yes
114_1988-05-18,114,1988-05-18,1988,5,139,9:02:00,0.5,43.21,360,5.886104031,yes
114_1988-05-18,114,1988-05-18,1988,5,139,9:02:00,1,23.28,194,5.267858159,no
114_1988-05-18,114,1988-05-18,1988,5,139,9:02:00,2,17.88,149,5.003946306,no
114_1988-05-18,114,1988-05-18,1988,5,139,9:02:00,3,12.36,103,4.634728988,no
114_1988-05-18,114,1988-05-18,1988,5,139,9:02:00,4,8.76,73,4.290459441,no
114_1988-05-18,114,1988-05-18,1988,5,139,9:02:00,4.75,5.64,47,3.850147602,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,0,100,408,6.011267174,yes
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,0.5,51.47,210,5.347107531,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,1,34.31,140,4.941642423,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,1.5,23.28,95,4.553876892,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,2,16.42,67,4.204692619,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,2.5,11.27,46,3.828641396,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,3,9.31,38,3.63758616,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,3.5,6.13,25,3.218875825,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,4,4.66,19,2.944438979,no
114_1988-06-15,114,1988-06-15,1988,6,167,10:46:00,4.5,3.43,14,2.63905733,no
